City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Denpasar,-8.65,115.2167,82.06,83,75,17.27,ID,1638737439
Hermanus,-34.4187,19.2345,61.81,94,100,11.79,ZA,1638737439
Qaanaaq,77.484,-69.3632,21.36,77,100,6.71,GL,1638737439
Marabba,12.35,32.1833,82.56,25,3,11.16,SD,1638737160
Pokhara,28.2333,83.9833,59.02,43,0,5.61,NP,1638737263
La Ronge,55.1001,-105.2842,-10.95,58,20,10.36,CA,1638737439
Port Lincoln,-34.7333,135.8667,59.02,76,1,2.64,AU,1638737439
Plouzané,48.3833,-4.6167,49.08,76,20,10.36,FR,1638737439
Gilgit,35.9221,74.3087,42.06,88,100,1.52,PK,1638737439
Vostok,46.4856,135.8833,14.76,92,27,5.88,RU,1638737439
Broken Hill,-31.95,141.4333,65.91,39,58,6.91,AU,1638737440
Vaini,-21.2,-175.2,80.76,83,75,10.36,TO,1638737440
Wukari,7.85,9.7833,82.45,28,100,0.78,NG,1638737440
Labuhan,-6.8844,112.2051,78.08,81,100,8.19,ID,1638737440
Bluff,-46.6,168.3333,52.81,50,88,11.97,NZ,1638737440
Bredasdorp,-34.5322,20.0403,61.29,95,100,7.49,ZA,1638737440
Dhidhdhoo,6.8833,73.1,80.65,77,39,6.85,MV,1638737440
Cam Ranh,11.9214,109.1591,75.16,69,20,9.22,VN,1638737440
Pacific Grove,36.6177,-121.9166,72.81,77,20,3.0,US,1638737440
Le Marin,14.4721,-60.8697,84.11,70,75,17.27,MQ,1638737440
Petropavlovskoye,52.0712,84.107,21.74,86,100,4.36,RU,1638737441
Simao,22.7886,100.9748,54.09,80,86,1.86,CN,1638737441
Krutinka,56.0055,71.5113,28.44,95,100,11.05,RU,1638737441
Saskylakh,71.9167,114.0833,-25.55,96,100,4.52,RU,1638737441
Upernavik,72.7868,-56.1549,27.54,72,100,2.13,GL,1638737441
Port Alfred,-33.5906,26.891,69.04,95,100,15.66,ZA,1638737441
Lüderitz,-26.6481,15.1594,61.7,86,0,11.68,NA,1638737441
Bathsheba,13.2167,-59.5167,84.81,65,40,23.02,BB,1638737441
Barrow,71.2906,-156.7887,8.62,78,1,16.11,US,1638737441
Bambous Virieux,-20.3428,57.7575,79.05,73,40,11.5,MU,1638737441
Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,6.91,CA,1638737442
East London,-33.0153,27.9116,69.46,97,100,4.9,ZA,1638737185
Kaura Namoda,12.5898,6.5779,75.87,22,43,8.68,NG,1638737442
Vardø,70.3705,31.1107,8.35,79,14,21.77,NO,1638737442
Mount Isa,-20.7333,139.5,74.97,69,99,12.66,AU,1638737442
Giaginskaya,44.8621,40.0719,43.57,94,100,1.72,RU,1638737442
Pisco,-13.7,-76.2167,73.45,73,40,6.91,PE,1638737442
George Town,5.4112,100.3354,77.9,80,20,5.99,MY,1638737442
Provideniya,64.3833,-173.3,30.36,100,90,24.61,RU,1638737421
Port Hardy,50.6996,-127.4199,36.75,100,90,0.0,CA,1638737442
Tulum,20.2167,-87.4667,81.93,67,21,6.2,MX,1638737443
Lakes Entrance,-37.8811,147.981,63.16,65,84,7.2,AU,1638737443
Parkes,-33.1333,148.1833,61.36,64,93,1.01,AU,1638737443
Longyearbyen,78.2186,15.6401,-0.31,95,22,3.83,SJ,1638737443
Saint-Philippe,-21.3585,55.7679,76.59,81,37,10.49,RE,1638737443
Srednekolymsk,67.45,153.6833,-48.87,100,71,4.79,RU,1638737443
Diofior,14.1833,-16.6667,77.92,19,100,7.83,SN,1638737443
Plettenberg Bay,-34.0527,23.3716,65.66,83,96,11.83,ZA,1638737443
Bonthe,7.5264,-12.505,80.47,80,20,7.7,SL,1638737443
Adrar,20.5022,-10.0711,63.61,12,100,10.31,MR,1638737444
Yurgamysh,55.3714,64.4656,21.4,95,100,4.59,RU,1638737444
Cidreira,-30.1811,-50.2056,70.74,86,40,15.05,BR,1638737444
Leshukonskoye,64.8989,45.7622,6.58,96,26,4.85,RU,1638737444
Mar del Plata,-38.0023,-57.5575,66.22,83,20,13.0,AR,1638737444
Waingapu,-9.6567,120.2641,78.78,83,100,2.86,ID,1638737444
Tuatapere,-46.1333,167.6833,52.83,63,97,5.77,NZ,1638737444
Quatre Cocos,-20.2078,57.7625,78.91,70,20,12.8,MU,1638737444
Dicabisagan,17.0818,122.4157,70.63,89,93,6.31,PH,1638737444
Ribeira Grande,38.5167,-28.7,64.8,68,40,8.05,PT,1638737445
Sembakung,3.8167,117.25,73.78,98,98,0.2,ID,1638737445
Riverton,40.5219,-111.9391,57.7,35,1,8.01,US,1638736933
Roald,62.5833,6.1333,35.74,69,75,16.11,NO,1638737347
Altay,47.8667,88.1167,32.52,59,100,5.86,CN,1638737333
Patea,-39.7583,174.4833,71.67,68,96,13.51,NZ,1638737445
Nebaj,15.4058,-91.1461,75.78,53,7,6.17,GT,1638737445
Sakakah,29.9697,40.2064,65.77,32,100,10.92,SA,1638736946
Camacha,33.0833,-16.3333,63.36,63,75,12.66,PT,1638736909
Haines Junction,60.7522,-137.5108,-2.34,98,100,1.52,CA,1638737445
Narsaq,60.9167,-46.05,19.74,90,100,16.22,GL,1638737446
Cap Malheureux,-19.9842,57.6142,79.29,66,5,5.01,MU,1638737446
Chokurdakh,70.6333,147.9167,-41.84,100,60,5.95,RU,1638737446
Kavieng,-2.5744,150.7967,82.47,80,95,7.14,PG,1638737446
Timrå,62.487,17.3257,14.68,72,90,9.22,SE,1638737446
Port Hedland,-20.3167,118.5667,91.45,27,100,14.97,AU,1638737446
Husavik,66.0449,-17.3389,39.11,77,100,26.84,IS,1638737446
Kruisfontein,-34.0033,24.7314,63.88,87,98,7.96,ZA,1638737446
Albany,42.6001,-73.9662,41.81,53,96,4.5,US,1638737446
Pecan Grove,29.6261,-95.7316,80.22,77,20,1.99,US,1638737447
Newport,51.5877,-2.9984,43.83,78,32,6.53,GB,1638737182
Genas,45.7322,4.9994,39.11,90,90,9.22,FR,1638737447
Saint-Leu,-21.15,55.2833,76.06,79,27,3.96,RE,1638736910
Rawson,-43.3002,-65.1023,67.66,51,21,15.55,AR,1638737447
Sitka,57.0531,-135.33,33.69,80,90,8.05,US,1638737447
Ponta do Sol,32.6667,-17.1,66.83,75,43,8.28,PT,1638737447
Basco,20.4487,121.9702,74.19,73,64,19.8,PH,1638737447
Iskateley,67.6803,53.1512,21.33,92,100,15.88,RU,1638737447
Saint Paul Harbor,57.79,-152.4072,27.91,93,20,5.75,US,1638737447
Dingle,10.9995,122.6711,71.2,91,37,6.96,PH,1638737447
Harper,4.375,-7.7169,80.69,80,9,8.34,LR,1638737447
Kaitangata,-46.2817,169.8464,53.92,53,100,6.35,NZ,1638737448
Collie,-33.3667,116.15,55.98,87,22,10.76,AU,1638737448
Innisfail,-17.5333,146.0333,80.89,67,86,7.05,AU,1638737448
Deesa,24.25,72.1667,68.07,49,6,7.83,IN,1638737448
Honningsvåg,70.9821,25.9704,29.95,69,40,14.97,NO,1638736907
Conakry,9.538,-13.6773,84.27,79,40,9.22,GN,1638737448
Esperance,-33.8667,121.9,60.64,73,79,12.66,AU,1638737448
Arrondissement de Verdun,49.25,5.3333,37.71,93,100,1.36,FR,1638737325
Healdsburg,38.6105,-122.8692,76.32,76,40,0.0,US,1638737448
Nizhniy Bestyakh,61.9594,129.9086,-24.32,76,0,2.24,RU,1638737448
São João da Barra,-21.6403,-41.0511,80.69,82,7,14.38,BR,1638737449
Luanda,-8.8368,13.2343,80.6,83,40,11.5,AO,1638737240
Carnarvon,-24.8667,113.6333,75.27,69,0,20.71,AU,1638737449
Okhotsk,59.3833,143.3,-13.76,88,19,9.24,RU,1638737449
Shirokiy,49.758,129.523,-0.09,98,71,5.88,RU,1638737449
Kushmurun,52.4503,64.6311,22.24,87,100,9.26,KZ,1638737449
Thompson,55.7435,-97.8558,-14.64,70,20,10.36,CA,1638737449
Kanganpur,30.7663,74.1231,60.28,68,4,5.01,PK,1638737449
Constitución,-35.3333,-72.4167,68.0,58,5,5.48,CL,1638737449
Mackay,-21.15,149.2,81.05,73,40,11.5,AU,1638736961
Gamba,-2.65,10.0,78.24,90,100,3.11,GA,1638737450
Winnemucca,40.973,-117.7357,57.25,30,1,12.66,US,1638736903
Kushālgarh,23.199,74.4507,67.32,53,5,4.7,IN,1638737450
Fortuna,40.5982,-124.1573,55.33,94,90,8.05,US,1638737450
Hualmay,-11.0964,-77.6139,69.12,80,100,10.22,PE,1638737450
Chicama,-7.8447,-79.1469,66.74,66,100,9.44,PE,1638737450
Lagoa,39.05,-27.9833,63.21,75,73,11.59,PT,1638737450
Anito,12.4497,125.2886,76.12,84,98,10.49,PH,1638737450
Ikongo,-21.8833,47.4333,70.02,95,2,1.86,MG,1638737450
Kaeo,-35.1,173.7833,73.33,87,48,8.16,NZ,1638736933
Kiryat Gat,31.61,34.7642,61.39,100,4,6.8,IL,1638737451
Bonavista,48.6499,-53.1147,35.11,59,92,13.27,CA,1638737451
Tilichiki,60.4667,166.1,-1.71,97,93,3.22,RU,1638737451
Netivot,31.4222,34.5886,55.6,57,7,7.9,IL,1638737451
Ugoofaaru,5.6667,73.0,81.99,75,63,9.82,MV,1638737451
Itaueira,-7.6033,-43.0256,80.28,69,37,5.12,BR,1638737451
Mata,40.683,-7.4592,42.93,97,53,4.88,PT,1638737451
Tonk,26.1667,75.7833,67.44,53,40,3.53,IN,1638737452
Clyde River,70.4692,-68.5914,10.63,85,100,36.82,CA,1638737452
Udachny,66.4167,112.4,-22.56,74,100,16.67,RU,1638736935
The Valley,18.217,-63.0578,82.54,65,20,16.11,AI,1638737452
Miran Shah,33.0086,70.0697,51.49,49,0,4.16,PK,1638737452
Port Elizabeth,-33.918,25.5701,66.09,100,0,3.44,ZA,1638737452
Muzhi,65.3667,64.6667,-21.08,95,5,6.58,RU,1638737452
Calabar,4.9517,8.322,77.79,90,100,3.36,NG,1638737452
Sinnamary,5.3833,-52.95,78.75,86,100,7.67,GF,1638736931
Igarka,67.4667,86.5833,-30.69,99,99,12.46,RU,1638737452
Corat,40.5725,49.7064,46.49,67,99,10.31,AZ,1638737452
College,64.8569,-147.8028,5.9,77,75,0.0,US,1638737453
Bubaque,11.2833,-15.8333,81.52,68,99,13.51,GW,1638736958
Klaksvík,62.2266,-6.589,34.72,61,28,14.07,FO,1638737453
Aktobe,50.2797,57.2072,26.69,86,90,8.95,KZ,1638737453
Natal,-5.795,-35.2094,84.85,74,75,16.11,BR,1638737334
Butaritari,3.0707,172.7902,81.0,84,100,13.65,KI,1638737453
Bilibino,68.0546,166.4372,-19.44,99,100,2.68,RU,1638736909
Manta,-0.95,-80.7333,82.18,69,40,8.05,EC,1638737407
Nikolskoye,59.7035,30.7861,0.01,97,9,4.81,RU,1638737453
Lompoc,34.6391,-120.4579,79.11,45,1,11.5,US,1638737453
Vanimo,-2.6741,141.3028,79.52,82,94,6.78,PG,1638737454
Chioggia,45.2256,12.2889,43.05,84,100,16.64,IT,1638737454
Mangan,27.5167,88.5333,60.4,46,57,6.87,IN,1638737454
Guerrero Negro,27.9769,-114.0611,69.17,64,1,15.23,MX,1638737408
Bodmin,50.4715,-4.7243,44.56,70,75,8.05,GB,1638737312
Khani,41.9563,42.9566,40.57,69,70,5.7,GE,1638737454
Bull Savanna,17.8868,-77.5902,80.53,72,75,15.66,JM,1638737454
Ballina,-28.8667,153.5667,66.24,96,40,10.36,AU,1638737454
San Cristobal,7.7669,-72.225,80.78,47,76,5.12,VE,1638737454
Ibipeba,-11.6408,-42.0111,72.07,81,40,7.23,BR,1638737454
La Palma,33.8464,-118.0467,79.93,80,20,0.0,US,1638736922
Airai,-8.9266,125.4092,61.16,93,100,0.34,TL,1638737455
Tegul'det,57.3064,88.1667,31.26,91,100,13.67,RU,1638736956
Paamiut,61.994,-49.6678,26.22,59,100,23.0,GL,1638737455
Maputo,-25.9653,32.5892,79.23,86,75,5.75,MZ,1638737420
Alice Springs,-23.7,133.8833,65.75,63,2,6.91,AU,1638736907
Caranavi,-15.8167,-67.55,68.2,98,100,0.83,BO,1638737455
Tiksi,71.6872,128.8694,-14.46,91,100,6.58,RU,1638737303
Kodinsk,58.6881,99.1844,22.06,97,100,2.04,RU,1638737215
Touros,-5.1989,-35.4608,85.1,78,84,15.43,BR,1638737455
Kargopol',61.5071,38.9456,8.8,96,100,4.52,RU,1638736931
Menzelinsk,55.7271,53.1026,24.04,80,100,8.61,RU,1638737455
Kotka,60.4664,26.9458,4.32,92,99,13.85,FI,1638737295
Hailar,49.2,119.7,12.87,84,6,13.44,CN,1638737456
Vadsø,70.0744,29.7487,8.31,72,40,17.27,NO,1638737456
Bairiki Village,1.3292,172.9752,82.4,78,75,16.11,KI,1638736937
Ozar,20.1,73.9333,66.24,83,12,3.65,IN,1638737456
Bobo-Dioulasso,11.1771,-4.2979,79.25,36,27,4.61,BF,1638737456
Tasiilaq,65.6145,-37.6368,30.15,92,98,29.68,GL,1638737456
Barra Patuca,15.8,-84.2833,81.28,71,11,5.44,HN,1638737456
Pochutla,15.7432,-96.4661,88.83,43,0,8.16,MX,1638737456
Grindavik,63.8424,-22.4338,41.47,87,75,17.27,IS,1638737457
Emmett,43.8735,-116.4993,49.89,48,36,5.99,US,1638737457
Moss Vale,-34.55,150.3833,54.16,74,86,5.59,AU,1638737457
Hamilton,39.1834,-84.5333,61.05,61,40,1.99,US,1638737457
Visby,57.6409,18.296,27.05,80,75,10.36,SE,1638737457
Cayenne,4.9333,-52.3333,82.44,86,75,5.01,GF,1638737457
Forsytheganj,52.6333,29.7333,30.0,91,100,5.99,BY,1638737457
Cabo San Lucas,22.8909,-109.9124,82.51,56,100,3.0,MX,1638737458
Severo-Kuril'sk,50.6789,156.125,31.5,72,94,19.66,RU,1638737458
Torbay,47.6666,-52.7314,34.27,70,20,9.22,CA,1638737458
Teya,60.3778,92.6267,12.74,96,100,3.0,RU,1638737458
Santa Rosa,14.3122,121.1114,75.18,77,65,8.37,PH,1638737458
Te Anau,-45.4167,167.7167,48.51,72,70,5.48,NZ,1638736916
Tessalit,20.1986,1.0114,69.85,15,86,9.78,ML,1638737458
Antalaha,-14.9003,50.2788,73.99,89,8,6.58,MG,1638737458
Kumul,42.8,93.45,31.01,47,99,5.3,CN,1638737459
Ocotepec,17.2167,-93.15,63.32,87,77,3.58,MX,1638737459
Zhigansk,66.7697,123.3711,-28.28,93,100,8.08,RU,1638737459
Broome,42.2506,-75.833,42.22,57,75,1.01,US,1638736913
Dongsheng,39.8161,109.9776,23.94,44,0,13.53,CN,1638736959
Kadhan,24.481,68.9859,67.33,23,0,3.85,PK,1638737459
Tautira,-17.7333,-149.15,86.02,73,69,16.89,PF,1638736953
Tocopilla,-22.092,-70.1979,68.99,66,92,5.82,CL,1638736922
Banda Aceh,5.5577,95.3222,76.98,84,97,9.15,ID,1638737460
Turaif,31.6725,38.6637,52.05,66,0,13.8,SA,1638736920
Rāvar,31.2656,56.8055,51.89,33,100,2.01,IR,1638737460
Hūn,29.1268,15.9477,54.43,34,0,7.96,LY,1638737460
Talnakh,69.4865,88.3972,-20.79,99,100,13.91,RU,1638737460
Vila Franca do Campo,37.7167,-25.4333,64.2,83,41,3.49,PT,1638737197
Wuhu,31.3366,118.3755,31.91,51,0,2.84,CN,1638737460
General Roca,-39.0333,-67.5833,88.2,14,0,10.8,AR,1638737460
Rock Falls,41.7798,-89.689,38.19,96,90,4.61,US,1638737460
Narāyangarh,30.4833,77.1333,59.88,58,12,4.97,IN,1638737461
Los Llanos de Aridane,28.6585,-17.9182,64.15,67,75,11.99,ES,1638737461
Weyburn,49.6668,-103.8511,11.17,85,100,26.46,CA,1638737461
Tūkrah,32.5341,20.5791,64.15,67,55,15.5,LY,1638737461
Ballangen,68.3428,16.8315,17.4,62,0,9.22,NO,1638737461
Bariloche,-41.1456,-71.3082,83.95,11,20,5.75,AR,1638737461
Verkhnevilyuysk,63.4453,120.3167,-26.23,90,30,7.02,RU,1638737461
Iqaluit,63.7506,-68.5145,10.13,66,90,23.0,CA,1638737462
Cairns,-16.9167,145.7667,78.75,80,2,10.36,AU,1638736932
Breyten,-26.3018,29.987,56.37,96,100,5.37,ZA,1638737462
Mount Gambier,-37.8333,140.7667,48.11,93,97,5.75,AU,1638737462
Sfântu Gheorghe,45.8667,25.7833,32.94,84,100,3.11,RO,1638737165
Bambanglipuro,-7.95,110.2833,64.6,90,99,5.88,ID,1638737462
Washington,47.5001,-120.5015,39.69,60,80,2.66,US,1638737270
Gorom-Gorom,14.4439,-0.2361,80.15,11,4,7.4,BF,1638737462
Alexandria,31.2156,29.9553,66.16,72,40,6.91,EG,1638737182
Gawler,-34.6,138.7333,65.48,64,54,2.55,AU,1638737462
Merrill,45.1805,-89.6835,29.97,93,90,16.11,US,1638737463
Saldanha,-33.0117,17.9442,60.85,93,13,16.62,ZA,1638737463
Yerbogachën,61.2767,108.0108,-19.62,100,97,2.93,RU,1638737463
Naryshkino,52.9678,35.7268,24.49,91,100,4.54,RU,1638737463
La Rioja,42.25,-2.5,35.49,98,100,7.18,ES,1638737463
Ostrovnoy,68.0531,39.5131,8.35,74,85,21.47,RU,1638737463
Geraldton,-28.7667,114.6,64.81,82,2,8.05,AU,1638736912
Beeskow,52.1667,14.25,35.15,93,100,3.0,DE,1638737464
Yatou,37.15,122.3833,45.72,81,4,7.67,CN,1638737464
Sovetskiy,61.3614,63.5842,-4.22,97,98,3.22,RU,1638736935
Zharkent,44.1628,80.0,38.89,51,100,3.15,KZ,1638737464
Ust-Tsilma,65.441,52.1498,5.97,97,83,3.91,RU,1638737464
Moose Factory,51.2585,-80.6094,12.2,73,1,8.05,CA,1638737464
Ascension,30.2169,-90.9001,80.01,72,40,4.61,US,1638737464
Cumana,10.4635,-64.1775,86.09,78,38,14.52,VE,1638737464
Asău,46.4333,26.4,34.95,83,100,3.53,RO,1638737465
Kulu,39.0951,33.0799,45.95,60,0,6.31,TR,1638737465
Riyadh,24.6877,46.7219,60.94,33,4,6.15,SA,1638736871
Sémbé,1.6481,14.5806,75.54,76,78,2.08,CG,1638737465
Lavrentiya,65.5833,-171.0,29.84,98,100,9.75,RU,1638737465
Jintūr,19.6167,76.7,67.57,64,0,4.74,IN,1638737465
Hibbing,47.4272,-92.9377,26.2,61,90,12.66,US,1638737465
Byron Bay,-28.65,153.6167,71.55,85,76,5.79,AU,1638737465
Srīvardhan,18.0333,73.0167,72.84,84,0,3.91,IN,1638737465
Felipe Carrillo Puerto,19.5833,-88.05,84.36,53,17,5.28,MX,1638737465
Rafaela,-31.2503,-61.4867,84.06,41,91,3.0,AR,1638737466
Nouadhibou,20.931,-17.0347,73.38,43,14,8.05,MR,1638736928
Uvarovka,55.5278,35.6061,19.58,99,99,2.59,RU,1638737466
Port-Gentil,-0.7193,8.7815,82.36,83,40,11.5,GA,1638737466
Sovetskoye,52.2861,85.4131,13.42,93,100,3.15,RU,1638737466
Gerāsh,27.6652,54.1371,51.94,44,98,0.76,IR,1638737466
Chui,-33.6971,-53.4616,68.38,75,96,9.57,UY,1638737466
Hendrina,-26.1588,29.7153,59.29,97,100,4.07,ZA,1638737466
Kuah,6.3265,99.8432,78.78,73,20,5.75,MY,1638737467
Shimoda,34.6667,138.95,48.11,83,100,15.19,JP,1638737467
Avezzano,42.0402,13.4388,41.81,87,71,1.48,IT,1638737467
Dzaoudzi,-12.7887,45.2699,80.49,83,0,6.91,YT,1638737467
Vila Velha,-20.3297,-40.2925,80.55,84,40,7.0,BR,1638737448
Giyani,-23.3025,30.7187,75.99,59,90,6.15,ZA,1638737467
San Patricio,28.017,-97.5169,84.88,65,100,16.53,US,1638737467
Am Timan,11.0297,20.2827,81.12,23,81,7.05,TD,1638736939
Emerald,-23.5333,148.1667,73.54,88,90,0.0,AU,1638737467
Rumonge,-3.9736,29.4386,72.25,81,100,4.29,BI,1638737467
Cody,44.5263,-109.0565,25.29,86,90,8.05,US,1638737468
Norman Wells,65.282,-126.8329,-12.23,80,54,4.88,CA,1638737468
Sambava,-14.2667,50.1667,76.19,86,3,10.74,MG,1638737468
Belomorsk,64.5232,34.7668,9.82,96,72,5.48,RU,1638737468
Wakema,16.6,95.1833,67.59,70,70,2.51,MM,1638737468
Adré,13.4667,22.2,73.11,23,81,13.09,TD,1638737468
Monte Sião,-22.4325,-46.5725,80.6,76,77,3.83,BR,1638737468
Karatuzskoye,53.6072,92.8667,8.82,95,97,2.62,RU,1638737334
Kearney,40.6995,-99.0815,54.16,31,1,17.0,US,1638737469
Mana,5.6592,-53.7767,77.77,89,100,8.55,GF,1638737469
Kamaishi,39.2667,141.8833,39.22,74,6,8.41,JP,1638737469
Biak,-0.9131,122.8766,75.58,91,100,8.12,ID,1638737469
Jakar,27.5492,90.7525,45.34,83,99,1.03,BT,1638737469
Rio Grande,-32.035,-52.0986,75.31,73,22,13.4,BR,1638737293
Nagato,34.3833,131.2,48.11,80,6,5.91,JP,1638737469
Esim,4.8699,-2.2405,80.74,82,68,9.42,GH,1638737469
Nkhotakota,-12.9274,34.2961,78.67,62,12,5.12,MW,1638737469
Sept-Îles,50.2001,-66.3821,21.06,58,40,10.0,CA,1638737469
Ormara,25.2088,64.6357,72.91,27,1,11.01,PK,1638737470
Rabo de Peixe,37.8,-25.5833,63.28,96,75,4.61,PT,1638737470
Kargasok,59.0556,80.8572,31.06,98,100,10.42,RU,1638737195
Shiyan,32.6475,110.7781,45.95,66,0,4.45,CN,1638737470
Nabire,-3.3667,135.4833,75.02,89,96,5.3,ID,1638737470
Creston,41.0586,-94.3614,54.72,66,1,17.27,US,1638737470
Benjamín Aceval,-24.9667,-57.5667,93.6,32,99,6.71,PY,1638737470
San Quintín,30.4833,-115.95,65.25,69,0,14.0,MX,1638736913
Neuquén,-38.9516,-68.0591,87.69,30,0,9.22,AR,1638737470
Ossora,59.2353,163.0719,12.22,80,95,9.48,RU,1638737471
Stornoway,58.2093,-6.3865,39.16,78,75,3.0,GB,1638737471
Concarneau,47.875,-3.9225,47.17,70,67,14.7,FR,1638737471
Laguna,38.421,-121.4238,72.64,84,90,3.44,US,1638736956
Ambulu,-8.345,113.6058,76.51,91,100,4.03,ID,1638737471
Dalian,38.9122,121.6022,47.62,76,100,8.95,CN,1638737471
Hayden,47.766,-116.7866,34.36,56,1,9.22,US,1638737471
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,28.81,49,1,7.92,CN,1638737471
Maceió,-9.6658,-35.7353,80.04,89,75,10.36,BR,1638737471
Doha,25.2867,51.5333,67.98,62,0,2.3,QA,1638737322
Mahébourg,-20.4081,57.7,79.09,73,40,11.5,MU,1638737472
Saint-Louis,16.3333,-15.0,85.53,11,100,9.53,SN,1638737472
Hirara,24.8,125.2833,70.11,69,36,18.7,JP,1638737472
Lismore,-28.8135,153.2773,66.15,92,90,6.91,AU,1638737472
Palāsa,18.7667,84.4167,72.81,91,96,2.1,IN,1638737472
